,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
0,1_3nOM7s9WqnJWTNu2-i8Q,Le Bistro Balmoral,Ville-Marie,305 Rue Sainte-Catherine O,Montreal,QC,H2X 2A1,45.5067722126,-73.5667249688,3.0,8,0,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol='full_bar', Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=True, BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=True, GoodForMeal=Row(breakfast=False, brunch=False, dessert=False, dinner=False, latenight=False, lunch=False), HairSpecializesIn=None, HappyHour=None, HasTV=True, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=True, RestaurantsAttire='casual', RestaurantsCounterService=None, RestaurantsDelivery=False, RestaurantsGoodForGroups=True, RestaurantsPriceRange2=2, RestaurantsReservations=True, RestaurantsTableService=True, RestaurantsTakeOut=False, Smoking=None, WheelchairAccessible=None, WiFi=None)","['Arts & Entertainment', 'Festivals', 'Restaurants', 'French', 'Gastropubs']","Row(Friday='17:00-21:30', Monday='11:30-14:00', Saturday='16:30-21:30', Sunday=None, Thursday='17:00-21:30', Tuesday='17:00-21:30', Wednesday='17:00-21:30')"
1,c_XbaJqhm-5ycSBOkVUBmg,Don Taco,Ville-Marie,"1855 Rue Saint Catherine Ouest, H3H 1M2",Montreal,QC,H3H 1M2,45.4932164,-73.5803794,3.5,33,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol='none', Ambience=Row(casual=True, classy=False, divey=None, hipster=False, intimate=False, romantic=False, touristy=False, trendy=False, upscale=False), BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=True, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=True, BusinessParking=Row(garage=False, lot=False, street=True, valet=False, validated=False), ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=True, GoodForMeal=Row(breakfast=False, brunch=False, dessert=True, dinner=False, latenight=False, lunch=True), HairSpecializesIn=None, HappyHour=None, HasTV=False, Music=None, NoiseLevel='quiet', Open24Hours=None, OutdoorSeating=False, RestaurantsAttire='casual', RestaurantsCounterService=None, RestaurantsDelivery=True, RestaurantsGoodForGroups=False, RestaurantsPriceRange2=1, RestaurantsReservations=False, RestaurantsTableService=False, RestaurantsTakeOut=True, Smoking=None, WheelchairAccessible=None, WiFi='free')","['Restaurants', 'Mexican']","Row(Friday='11:30-22:00', Monday='11:30-22:00', Saturday='11:30-22:00', Sunday='11:30-21:00', Thursday='11:30-22:00', Tuesday='11:30-22:00', Wednesday='11:30-22:00')"
2,t2Eg5QRgLg9DWUeMe_Duhg,Sarah B.,Ville-Marie,360 Rue Saint-Antoine O,Montreal,QC,H2Y 3X4,45.502393,-73.56031,3.5,23,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol='full_bar', Ambience=Row(casual=False, classy=False, divey=None, hipster=False, intimate=False, romantic=False, touristy=False, trendy=False, upscale=False), BYOB=None, BYOBCorkage=None, BestNights=Row(friday=True, monday=False, saturday=True, sunday=False, thursday=True, tuesday=False, wednesday=False), BikeParking=True, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=None, BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=False, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=False, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=False, HasTV=True, Music=None, NoiseLevel='average', Open24Hours=None, OutdoorSeating=False, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=True, RestaurantsPriceRange2=2, RestaurantsReservations=False, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking='outdoor', WheelchairAccessible=True, WiFi='free')","['Bars', 'Nightlife', 'Cocktail Bars']","Row(Friday='16:00-0:00', Monday='16:00-0:00', Saturday='16:00-0:00', Sunday='16:00-0:00', Thursday='16:00-0:00', Tuesday='16:00-0:00', Wednesday='16:00-0:00')"
3,Ga7UBeAUwsohodzynhwYsw,Residence Inn by Marriott Montreal Airport,Saint-Laurent,6500 Place Robert-Joncas,Montreal,QC,H4M 2Z5,45.4930596314,-73.7000028603,4.5,8,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=True, BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=2, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi='free')","['Hotels', 'Event Planning & Services', 'Hotels & Travel']","Row(Friday='0:00-0:00', Monday='0:00-0:00', Saturday='0:00-0:00', Sunday='0:00-0:00', Thursday='0:00-0:00', Tuesday='0:00-0:00', Wednesday='0:00-0:00')"
4,mJzm0yQQ16iBfkmOHFvwRA,Il Pagliaccio,Plateau-Mont-Royal,365 Rue Laurier O,Montreal,QC,H2V 2K5,45.5193686,-73.5964687,4.5,4,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol='full_bar', Ambience=Row(casual=False, classy=False, divey=None, hipster=False, intimate=False, romantic=False, touristy=False, trendy=False, upscale=False), BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=True, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=True, BusinessParking=Row(garage=False, lot=False, street=False, valet=False, validated=False), ByAppointmentOnly=None, Caters=True, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=True, GoodForMeal=Row(breakfast=False, brunch=False, dessert=False, dinner=False, latenight=False, lunch=False), HairSpecializesIn=None, HappyHour=None, HasTV=False, Music=None, NoiseLevel='average', Open24Hours=None, OutdoorSeating=False, RestaurantsAttire='dressy', RestaurantsCounterService=None, RestaurantsDelivery=False, RestaurantsGoodForGroups=True, RestaurantsPriceRange2=4, RestaurantsReservations=True, RestaurantsTableService=True, RestaurantsTakeOut=False, Smoking=None, WheelchairAccessible=None, WiFi='free')","['Restaurants', 'Italian']","Row(Friday='17:30-22:00', Monday=None, Saturday='17:30-22:00', Sunday='17:30-22:00', Thursday='17:30-22:00', Tuesday='17:30-22:00', Wednesday='17:30-22:00')"
5,Nfovc-aKljzls-yDYfU2LQ,Sushi Q,Côte-des-Neiges,2787 Avenue Van Horne,Montreal,QC,H3S 1P6,45.509057,-73.625349,4.5,8,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=None, BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=Row(breakfast=False, brunch=False, dessert=False, dinner=False, latenight=False, lunch=False), HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=True, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)","['Sushi Bars', 'Restaurants']","Row(Friday='11:00-21:00', Monday='11:00-19:00', Saturday='11:00-17:00', Sunday=None, Thursday='11:00-21:00', Tuesday='11:00-19:00', Wednesday='11:00-19:00')"
6,ACnDg-xg8hJ7YEk3aPMIKg,Adonis,Saint-Laurent,3100 Boulevard Thimens,Montreal,QC,H4R 0C9,45.4993484833,-73.7071262571,3.0,7,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=True, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=False, BusinessParking=Row(garage=False, lot=True, street=False, valet=False, validated=False), ByAppointmentOnly=None, Caters=True, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=1, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=True, Smoking=None, WheelchairAccessible=True, WiFi=None)","['Specialty Food', 'Butcher', 'Meat Shops', 'Food', 'Fruits & Veggies', 'Grocery']","Row(Friday='8:00-21:00', Monday='8:00-20:00', Saturday='8:00-19:00', Sunday='8:00-19:00', Thursday='8:00-21:00', Tuesday='8:00-20:00', Wednesday='8:00-20:00')"
7,U6Jf5-cUyxkMbXdxLLq6IA,Juliette & chocolat,Outremont,377 Avenue Laurier Ouest,Montreal,QC,H2V 2K3,45.5191325,-73.5964654,3.5,54,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=True, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=True, BusinessParking=Row(garage=False, lot=False, street=True, valet=False, validated=False), ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=2, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=True, Smoking=None, WheelchairAccessible=True, WiFi=None)","['Desserts', 'Creperies', 'Food', 'Restaurants']","Row(Friday='11:00-0:00', Monday='11:00-23:00', Saturday='10:00-0:00', Sunday='10:00-23:00', Thursday='11:00-23:00', Tuesday='11:00-23:00', Wednesday='11:00-23:00')"
8,97V9-NPOBOpKeneLryVpzw,Salon Dee's Beauty,Villeray-Saint-Michel-Parc-Extension,1014 Jean Talon,Montreal,QC,H3N 1T1,45.5244988,-73.625731,4.0,12,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=False, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=True, BusinessParking=Row(garage=False, lot=False, street=False, valet=False, validated=False), ByAppointmentOnly=False, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=1, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)","['Hair Removal', 'Beauty & Spas']","Row(Friday='10:00-19:00', Monday=None, Saturday='10:00-19:00', Sunday='10:00-19:00', Thursday='10:00-19:00', Tuesday='10:00-19:00', Wednesday='10:00-19:00')"
9,6fd9EIo9TAFvJLkfC7_qYA,L'Avenue,Sud-Ouest,3612 Rue Notre-Dame O,Montreal,QC,H4C 1P5,45.4796017581,-73.5808397256,4.5,47,1,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol='full_bar', Ambience=Row(casual=False, classy=False, divey=None, hipster=False, intimate=False, romantic=False, touristy=False, trendy=True, upscale=False), BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=False, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=None, BusinessParking=Row(garage=False, lot=False, street=True, valet=False, validated=False), ByAppointmentOnly=None, Caters=False, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=True, GoodForMeal=Row(breakfast=True, brunch=True, dessert=False, dinner=False, latenight=False, lunch=True), HairSpecializesIn=None, HappyHour=None, HasTV=False, Music=None, NoiseLevel='loud', Open24Hours=None, OutdoorSeating=False, RestaurantsAttire='casual', RestaurantsCounterService=None, RestaurantsDelivery=False, RestaurantsGoodForGroups=True, RestaurantsPriceRange2=2, RestaurantsReservations=False, RestaurantsTableService=True, RestaurantsTakeOut=True, Smoking=None, WheelchairAccessible=True, WiFi='free')","['Breakfast & Brunch', 'Restaurants']","Row(Friday='8:00-16:00', Monday='8:00-16:00', Saturday='8:00-16:00', Sunday='8:00-16:00', Thursday='8:00-16:00', Tuesday='8:00-16:00', Wednesday='8:00-16:00')"
